I10/25/2024 3:22:30 PM: Результаты выборки
I10/25/2024 3:27:10 PM: Результаты выборки
I10/25/2024 3:28:03 PM: Результаты выборки
I10/25/2024 3:28:05 PM: Результаты выборки
I10/25/2024 3:29:45 PM: Результаты выборки
I10/25/2024 3:31:16 PM: Результаты выборки
I10/25/2024 3:31:17 PM: Результаты выборки
I10/25/2024 3:31:17 PM: Результаты выборки
I10/25/2024 3:32:40 PM: Результаты выборки
I10/25/2024 3:33:00 PM: Результаты выборки
I10/25/2024 3:34:38 PM: Результаты выборки
I10/25/2024 3:51:56 PM: Результаты выборки
I10/25/2024 3:52:19 PM: Результаты выборки
I10/25/2024 3:52:20 PM: Результаты выборки
I10/25/2024 5:22:19 PM: Результаты выборки
I10/25/2024 5:25:34 PM: Результаты выборки
Номер заказа: 510272018, район: Юг, время дсотавки: 2024-10-24 21:16:06, вес: 16.97
Номер заказа: 634403959, район: Центр, время дсотавки: 2024-10-24 23:05:58, вес: 86.67
Номер заказа: 342547078, район: Центр, время дсотавки: 2024-10-24 23:03:29, вес: 62.67
Номер заказа: 215081637, район: Центр, время дсотавки: 2024-10-24 23:02:51, вес: 84.55
Номер заказа: 260748560, район: Центр, время дсотавки: 2024-10-24 23:17:14, вес: 26.16
Номер заказа: 951629059, район: Центр, время дсотавки: 2024-10-24 23:20:22, вес: 19.62
Номер заказа: 274594541, район: Центр, время дсотавки: 2024-10-24 23:19:36, вес: 90.16
Номер заказа: 558986947, район: Центр, время дсотавки: 2024-10-24 23:07:35, вес: 74.94
Номер заказа: 872126104, район: Центр, время дсотавки: 2024-10-24 23:19:47, вес: 15.31
Номер заказа: 784977672, район: Центр, время дсотавки: 2024-10-24 23:14:18, вес: 22.35
Номер заказа: 575035318, район: Центр, время дсотавки: 2024-10-24 23:16:05, вес: 32.12
Номер заказа: 640125349, район: Центр, время дсотавки: 2024-10-24 23:19:53, вес: 56.48
Номер заказа: 716644924, район: Центр, время дсотавки: 2024-10-24 23:11:56, вес: 16.87
Номер заказа: 222121032, район: Центр, время дсотавки: 2024-10-24 23:25:54, вес: 26.81
Номер заказа: 241183321, район: Центр, время дсотавки: 2024-10-24 23:18:46, вес: 13.05
Номер заказа: 795846024, район: Центр, время дсотавки: 2024-10-24 23:00:44, вес: 84.96
Номер заказа: 132469622, район: Центр, время дсотавки: 2024-10-24 23:14:23, вес: 81.03
Номер заказа: 973385381, район: Центр, время дсотавки: 2024-10-24 23:26:58, вес: 93.11
Номер заказа: 532656233, район: Центр, время дсотавки: 2024-10-24 23:06:39, вес: 30.93
Номер заказа: 820550329, район: Центр, время дсотавки: 2024-10-24 23:27:58, вес: 44.16
Номер заказа: 938776261, район: Центр, время дсотавки: 2024-10-24 23:27:43, вес: 53.41
Номер заказа: 706691807, район: Центр, время дсотавки: 2024-10-24 23:25:03, вес: 40.69
Номер заказа: 278301716, район: Центр, время дсотавки: 2024-10-24 23:13:38, вес: 80.9
Номер заказа: 232822473, район: Центр, время дсотавки: 2024-10-24 23:12:06, вес: 92.66
Номер заказа: 455068196, район: Центр, время дсотавки: 2024-10-24 23:24:21, вес: 41.62
Номер заказа: 151114582, район: Центр, время дсотавки: 2024-10-24 23:03:20, вес: 80.54
Номер заказа: 437400170, район: Центр, время дсотавки: 2024-10-24 23:03:38, вес: 0.22
Номер заказа: 476422413, район: Центр, время дсотавки: 2024-10-24 23:01:33, вес: 49.95
Номер заказа: 566351323, район: Центр, время дсотавки: 2024-10-24 23:02:09, вес: 1.58
Номер заказа: 518966242, район: Центр, время дсотавки: 2024-10-24 23:20:26, вес: 32.7
Номер заказа: 919275040, район: Центр, время дсотавки: 2024-10-24 23:03:09, вес: 89.65
I10/25/2024 6:17:50 PM: Результаты выборки
Номер заказа: 151897439, район: Центр, время дсотавки: 2024-10-24 23:00:44, вес: 78.85
Номер заказа: 216939705, район: Центр, время дсотавки: 2024-10-24 23:14:50, вес: 34.78
Номер заказа: 304419725, район: Центр, время дсотавки: 2024-10-24 23:15:38, вес: 26.11
Номер заказа: 204761724, район: Центр, время дсотавки: 2024-10-24 23:11:22, вес: 80.51
Номер заказа: 374859427, район: Центр, время дсотавки: 2024-10-24 23:08:39, вес: 26
Номер заказа: 158299923, район: Центр, время дсотавки: 2024-10-24 23:05:04, вес: 44.39
Номер заказа: 173360903, район: Центр, время дсотавки: 2024-10-24 23:15:20, вес: 18.68
Номер заказа: 114853827, район: Центр, время дсотавки: 2024-10-24 23:27:52, вес: 58.5
Номер заказа: 477150957, район: Центр, время дсотавки: 2024-10-24 23:15:54, вес: 88.13
Номер заказа: 935215145, район: Центр, время дсотавки: 2024-10-24 23:05:52, вес: 75.34
Номер заказа: 648292523, район: Центр, время дсотавки: 2024-10-24 23:17:33, вес: 2.09
Номер заказа: 745272260, район: Центр, время дсотавки: 2024-10-24 23:08:20, вес: 75.63
Номер заказа: 570768605, район: Центр, время дсотавки: 2024-10-24 23:25:15, вес: 64.58
Номер заказа: 600124558, район: Центр, время дсотавки: 2024-10-24 23:02:22, вес: 81.63
Номер заказа: 170989475, район: Центр, время дсотавки: 2024-10-24 23:07:20, вес: 30.21
Номер заказа: 466750522, район: Центр, время дсотавки: 2024-10-24 23:26:20, вес: 69.79
Номер заказа: 570915286, район: Центр, время дсотавки: 2024-10-24 23:18:08, вес: 87.65
Номер заказа: 527650728, район: Центр, время дсотавки: 2024-10-24 23:13:09, вес: 40.64
Номер заказа: 942784996, район: Центр, время дсотавки: 2024-10-24 23:12:29, вес: 13.68
Номер заказа: 634403959, район: Центр, время дсотавки: 2024-10-24 23:05:58, вес: 86.67
Номер заказа: 342547078, район: Центр, время дсотавки: 2024-10-24 23:03:29, вес: 62.67
Номер заказа: 215081637, район: Центр, время дсотавки: 2024-10-24 23:02:51, вес: 84.55
Номер заказа: 260748560, район: Центр, время дсотавки: 2024-10-24 23:17:14, вес: 26.16
Номер заказа: 951629059, район: Центр, время дсотавки: 2024-10-24 23:20:22, вес: 19.62
Номер заказа: 274594541, район: Центр, время дсотавки: 2024-10-24 23:19:36, вес: 90.16
Номер заказа: 558986947, район: Центр, время дсотавки: 2024-10-24 23:07:35, вес: 74.94
Номер заказа: 872126104, район: Центр, время дсотавки: 2024-10-24 23:19:47, вес: 15.31
Номер заказа: 784977672, район: Центр, время дсотавки: 2024-10-24 23:14:18, вес: 22.35
Номер заказа: 575035318, район: Центр, время дсотавки: 2024-10-24 23:16:05, вес: 32.12
Номер заказа: 640125349, район: Центр, время дсотавки: 2024-10-24 23:19:53, вес: 56.48
Номер заказа: 716644924, район: Центр, время дсотавки: 2024-10-24 23:11:56, вес: 16.87
Номер заказа: 222121032, район: Центр, время дсотавки: 2024-10-24 23:25:54, вес: 26.81
Номер заказа: 241183321, район: Центр, время дсотавки: 2024-10-24 23:18:46, вес: 13.05
Номер заказа: 795846024, район: Центр, время дсотавки: 2024-10-24 23:00:44, вес: 84.96
Номер заказа: 132469622, район: Центр, время дсотавки: 2024-10-24 23:14:23, вес: 81.03
Номер заказа: 973385381, район: Центр, время дсотавки: 2024-10-24 23:26:58, вес: 93.11
Номер заказа: 532656233, район: Центр, время дсотавки: 2024-10-24 23:06:39, вес: 30.93
Номер заказа: 820550329, район: Центр, время дсотавки: 2024-10-24 23:27:58, вес: 44.16
Номер заказа: 938776261, район: Центр, время дсотавки: 2024-10-24 23:27:43, вес: 53.41
Номер заказа: 706691807, район: Центр, время дсотавки: 2024-10-24 23:25:03, вес: 40.69
Номер заказа: 278301716, район: Центр, время дсотавки: 2024-10-24 23:13:38, вес: 80.9
Номер заказа: 232822473, район: Центр, время дсотавки: 2024-10-24 23:12:06, вес: 92.66
Номер заказа: 455068196, район: Центр, время дсотавки: 2024-10-24 23:24:21, вес: 41.62
Номер заказа: 151114582, район: Центр, время дсотавки: 2024-10-24 23:03:20, вес: 80.54
Номер заказа: 437400170, район: Центр, время дсотавки: 2024-10-24 23:03:38, вес: 0.22
Номер заказа: 476422413, район: Центр, время дсотавки: 2024-10-24 23:01:33, вес: 49.95
Номер заказа: 566351323, район: Центр, время дсотавки: 2024-10-24 23:02:09, вес: 1.58
Номер заказа: 518966242, район: Центр, время дсотавки: 2024-10-24 23:20:26, вес: 32.7
Номер заказа: 919275040, район: Центр, время дсотавки: 2024-10-24 23:03:09, вес: 89.65
I10/25/2024 6:18:59 PM: Результаты выборки
Номер заказа: 151897439, район: Центр, время дсотавки: 2024-10-24 23:00:44, вес: 78.85
Номер заказа: 216939705, район: Центр, время дсотавки: 2024-10-24 23:14:50, вес: 34.78
Номер заказа: 304419725, район: Центр, время дсотавки: 2024-10-24 23:15:38, вес: 26.11
Номер заказа: 204761724, район: Центр, время дсотавки: 2024-10-24 23:11:22, вес: 80.51
Номер заказа: 374859427, район: Центр, время дсотавки: 2024-10-24 23:08:39, вес: 26
Номер заказа: 158299923, район: Центр, время дсотавки: 2024-10-24 23:05:04, вес: 44.39
Номер заказа: 173360903, район: Центр, время дсотавки: 2024-10-24 23:15:20, вес: 18.68
Номер заказа: 114853827, район: Центр, время дсотавки: 2024-10-24 23:27:52, вес: 58.5
Номер заказа: 477150957, район: Центр, время дсотавки: 2024-10-24 23:15:54, вес: 88.13
Номер заказа: 935215145, район: Центр, время дсотавки: 2024-10-24 23:05:52, вес: 75.34
Номер заказа: 648292523, район: Центр, время дсотавки: 2024-10-24 23:17:33, вес: 2.09
Номер заказа: 745272260, район: Центр, время дсотавки: 2024-10-24 23:08:20, вес: 75.63
Номер заказа: 570768605, район: Центр, время дсотавки: 2024-10-24 23:25:15, вес: 64.58
Номер заказа: 600124558, район: Центр, время дсотавки: 2024-10-24 23:02:22, вес: 81.63
Номер заказа: 170989475, район: Центр, время дсотавки: 2024-10-24 23:07:20, вес: 30.21
Номер заказа: 466750522, район: Центр, время дсотавки: 2024-10-24 23:26:20, вес: 69.79
Номер заказа: 570915286, район: Центр, время дсотавки: 2024-10-24 23:18:08, вес: 87.65
Номер заказа: 527650728, район: Центр, время дсотавки: 2024-10-24 23:13:09, вес: 40.64
Номер заказа: 942784996, район: Центр, время дсотавки: 2024-10-24 23:12:29, вес: 13.68
Номер заказа: 634403959, район: Центр, время дсотавки: 2024-10-24 23:05:58, вес: 86.67
Номер заказа: 342547078, район: Центр, время дсотавки: 2024-10-24 23:03:29, вес: 62.67
Номер заказа: 215081637, район: Центр, время дсотавки: 2024-10-24 23:02:51, вес: 84.55
Номер заказа: 260748560, район: Центр, время дсотавки: 2024-10-24 23:17:14, вес: 26.16
Номер заказа: 951629059, район: Центр, время дсотавки: 2024-10-24 23:20:22, вес: 19.62
Номер заказа: 274594541, район: Центр, время дсотавки: 2024-10-24 23:19:36, вес: 90.16
Номер заказа: 558986947, район: Центр, время дсотавки: 2024-10-24 23:07:35, вес: 74.94
Номер заказа: 872126104, район: Центр, время дсотавки: 2024-10-24 23:19:47, вес: 15.31
Номер заказа: 784977672, район: Центр, время дсотавки: 2024-10-24 23:14:18, вес: 22.35
Номер заказа: 575035318, район: Центр, время дсотавки: 2024-10-24 23:16:05, вес: 32.12
Номер заказа: 640125349, район: Центр, время дсотавки: 2024-10-24 23:19:53, вес: 56.48
Номер заказа: 716644924, район: Центр, время дсотавки: 2024-10-24 23:11:56, вес: 16.87
Номер заказа: 222121032, район: Центр, время дсотавки: 2024-10-24 23:25:54, вес: 26.81
Номер заказа: 241183321, район: Центр, время дсотавки: 2024-10-24 23:18:46, вес: 13.05
Номер заказа: 795846024, район: Центр, время дсотавки: 2024-10-24 23:00:44, вес: 84.96
Номер заказа: 132469622, район: Центр, время дсотавки: 2024-10-24 23:14:23, вес: 81.03
Номер заказа: 973385381, район: Центр, время дсотавки: 2024-10-24 23:26:58, вес: 93.11
Номер заказа: 532656233, район: Центр, время дсотавки: 2024-10-24 23:06:39, вес: 30.93
Номер заказа: 820550329, район: Центр, время дсотавки: 2024-10-24 23:27:58, вес: 44.16
Номер заказа: 938776261, район: Центр, время дсотавки: 2024-10-24 23:27:43, вес: 53.41
Номер заказа: 706691807, район: Центр, время дсотавки: 2024-10-24 23:25:03, вес: 40.69
Номер заказа: 278301716, район: Центр, время дсотавки: 2024-10-24 23:13:38, вес: 80.9
Номер заказа: 232822473, район: Центр, время дсотавки: 2024-10-24 23:12:06, вес: 92.66
Номер заказа: 455068196, район: Центр, время дсотавки: 2024-10-24 23:24:21, вес: 41.62
Номер заказа: 151114582, район: Центр, время дсотавки: 2024-10-24 23:03:20, вес: 80.54
Номер заказа: 437400170, район: Центр, время дсотавки: 2024-10-24 23:03:38, вес: 0.22
Номер заказа: 476422413, район: Центр, время дсотавки: 2024-10-24 23:01:33, вес: 49.95
Номер заказа: 566351323, район: Центр, время дсотавки: 2024-10-24 23:02:09, вес: 1.58
Номер заказа: 518966242, район: Центр, время дсотавки: 2024-10-24 23:20:26, вес: 32.7
Номер заказа: 919275040, район: Центр, время дсотавки: 2024-10-24 23:03:09, вес: 89.65
